一级规格	二级规格	三级规格	四级规格	规格描述	锐捷N18E-XB	锐捷N18E-HCA	华为MA5800G	差异	控标说明	锐捷参考位置	华为参考章节
ACL and QoS	MPLS QoS	支持802.1p到EXP映射			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持DSCP到EXP映射			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持EXP到802.1p映射			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持EXP到DSCP映射			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持EXP到队列映射		EXP到COS的映射	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持MPLS报文EXP映射到QOS队列			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持匹配外层标签做策略			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS QoS	支持报文的MPLS-EXP重标记			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	802.1p, DSCP 重标记	支持IPV4报文	关联的class-map支持匹配IPV4 ACL、ip dscp、ip precedence等类型	Y（仅支持入口方向）	Y（仅支持入口方向）	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	Congestion Avoidance（Tail Drop）			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	DRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	IP precedence 重标记	支持IPV4报文		❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	QOS 队列ID为0-7			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	RED/WRED			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	SP			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	SP+DRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	SP+WFQ			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	SP+WRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	WFQ			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	WRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	入口方向基于流的限速			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	出口方向基于流的限速			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	基于端口的限速(出口/入口)			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	支持HOL(头部阻塞)			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	支持SVI口的限速			Y(支持入方向)	Y(支持入方向)	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	支持修改队列优先级不改原始报文		策略qos和 qos map只修改优先级进行入队，不修改报文内容	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	支持入方向流策略应用在SVI口			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	支持显示QOS资源占用情况			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	支持流策略基于全局应用			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	根据802.1p, DSCP, IP precedence确定出口队列			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	QoS	端口指定缺省DSCP			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
High Availability	BFD	BFD同BGP4+联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同BGP4联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同ISISv4联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同ISISv6联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同LACP联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同MPLS联动		BFD FOR LSP(LDP/静态/BGP LSP)	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同OSPFv2联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同OSPFv3联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同RIPNG联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同RIP联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同VRRP+联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同VRRP联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同策略路由联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD同静态路由联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD振荡抑制			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD支持ECHO			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD支持IPv6			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD支持LACP成员口			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持硬件BFD			✅ 支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD支持接口认证		基于接口配置BFD协议的MSHA1的认证	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	BFD支持的检测模式:异步模式/回声模式	异步模式，单臂echo（回声模式）	异步模式，单臂echo（回声模式）	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持BFD多跳检测联动BGP4/BGP4+邻居			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持BFD多跳检测联动IPv4/v6静态路由			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持与PIM联动			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持启动BFD的接口类型:SVI口、路由口、三层聚合口			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持启动BFD的接口类型:三层子接口			✅ 支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	BFD	支持多跳BFD			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	DLDP	AUTO模式			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	DLDP	广播单通路DLDP支持			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	DLDP	支持DLDP			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	DLDP	支持DLDPv6			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	DLDP	支持DLDP被动模式			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	DLDP	静态MAC检测			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	ISISv4 ECMP FRR		多主多备：主路径为一个ECMP组，备份路径也为一个ECMP组。只有主路径全部down了才会切到备路径	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	ISISv6 ECMP FRR		多主多备：主路径为一个ECMP组，备份路径也为一个ECMP组。只有主路径全部down了才会切到备路径	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	LDP ECMP FRR		多主多备：主路径为一个ECMP组，备份路径也为一个ECMP组。只有主路径全部down了才会切到备路径	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	OSPFv2 ECMP FRR		多主多备：主路径为一个ECMP组，备份路径也为一个ECMP组。只有主路径全部down了才会切到备路径	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	OSPFv3 ECMP FRR		多主多备：主路径为一个ECMP组，备份路径也为一个ECMP组。只有主路径全部down了才会切到备路径	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	支持BGP4 ECMP FRR		多主一备：主路径为一个ECMP组，备份路径为单独一条。只有主路径全部down了才会切到备路径	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	ECMP FRR	支持BGP4+ ECMP FRR		多主一备：主路径为一个ECMP组，备份路径为单独一条。只有主路径全部down了才会切到备路径	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	BGP4 FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	BGP4+ FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	IPv4 FRR		IPv4路由支持一主一备的FRR	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	IPv6 FRR		IPv6路由支持一主一备的FRR	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	ISISv4 FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	ISISv6 FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	L3VPN FRR			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	LDPv4 FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	LDPv6 FRR			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	OSPFv2 FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	OSPFv3 FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	RIP FRR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	FRR	RIPng FRR		支持route-map形式FRR	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	BGP4 GR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	BGP4+ GR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	IS-ISv4 GR			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	IS-ISv6 GR			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	Kompella方式VPLS支持GR		Restarter/helper	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	Kompella方式VPWS支持GR		Restarter/helper	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	L3VPN GR		Restarter/helper	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	LDPv4 GR		Restarter/helper	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	LDPv6 GR		Restarter/helper	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	Martini方式VPLS支持GR		Restarter/helper	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	Martini方式VPWS支持GR		Restarter/helper	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	OSPFv2 GR			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	OSPFv3 GR			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	RIP GR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	GR	RIPng GR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	IP Event Dampening	IP Event Dampening			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	M-LAG支持VRRP双活网关接入			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	M-LAG支持二层聚合接入			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	支持IPv6			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	支持V-STP			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	支持VXLAN			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	支持一致检查			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	支持升级不断流			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	M-LAG	支持跨设备链路聚合			Y(受控，如需上点部署，请联系tac或者产品经理评估场景）	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	Monitor Link	Monitor Link			✅ 支持	✅ 支持	❌ 不支持	⚡锐捷独有	华为无Monitor Link	12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	BGP4+支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	BGP4支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	IGMP支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	L2EVPN支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	L3EVPN支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	LDPv6支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
High Availability	NSR	LDP支持NSR			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / High Availability
